Gene	OF3_OO_sc.1	OF3_OO_sc.2	OF3_OO_sc.3	OF3_OO_sc.4	OF3_OO_sc.5	OF3_OO_sc.6	OF3_OO_sc.7	OF3_OO_sc.8	OF3_OO_sc.9	OF3_OO_sc.10	OF3_OO_sc.11	OF3_OO_sc.12	OF3_OO_sc.13	OF3_OO_sc.14	OF3_OO_sc.15	OF3_OO_sc.16	OF3_OO_sc.17	OF3_OO_sc.18	OF3_OO_sc.19	OF3_OO_sc.20	OF3_OO_sc.21	OF3_OO_sc.22	OF3_OO_sc.23	OF3_OO_sc.24	OF3_OO_sc.25	OF3_OO_sc.26	OF3_OO_sc.27	OF3_OO_sc.28	OF3_OO_sc.29	OF3_OO_sc.30	OF3_OO_sc.31	OF3_OO_sc.32	OF3_OO_sc.33	OF3_OO_sc.34	OF3_OO_sc.35	OF3_OO_sc.36	OF3_OO_sc.37	OF3_OO_sc.38	OF3_OO_sc.39	OF3_OO_sc.40	OF3_OO_sc.41	OF3_OO_sc.42	OF3_OO_sc.43	OF3_OO_sc.44
STX3	5	1	1	1	3	1	0	1	0	2	1	21	2	1	5	56	0	14	19	56	12	0	0	5	1	0	19	3	23	16	18	9	2	0	2	2	3	3	2	5	3	2	0	1
STX4	1	2	2	1	4	2	4	6	0	5	1	20	1	1	3	12	1	3	17	18	7	7	1	2	1	0	12	1	11	7	8	6	0	2	1	0	3	0	1	1	1	3	1	0
STX5	0	0	1	0	1	1	4	0	0	1	1	17	0	3	1	16	0	3	4	14	5	0	0	1	0	0	4	0	8	18	11	3	2	1	1	1	1	0	3	2	1	0	2	0
STX6	9	3	4	1	6	8	5	5	0	6	7	41	0	3	8	63	2	14	20	35	22	22	1	8	4	0	25	1	46	45	10	11	1	0	4	6	3	5	6	6	4	1	5	0
STX7	4	0	0	0	1	3	2	4	0	0	1	17	0	2	9	26	4	10	9	27	4	2	1	0	7	3	10	3	7	9	5	9	0	2	1	3	1	1	2	1	0	3	0	0
STX8	42	23	48	18	62	87	51	68	0	49	29	258	15	73	93	377	41	142	148	302	172	44	19	59	14	1	198	30	263	295	214	183	19	12	15	43	39	87	72	94	45	44	64	1
STXBP1	6	0	1	1	3	2	1	3	0	4	2	56	0	1	0	56	5	16	19	41	9	6	2	4	1	0	25	6	18	37	9	11	1	1	0	2	4	2	8	0	7	6	3	0
STXBP2	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	5	0	0	0	0	1	1	0	2	1	1	2	0	1	0	0	0	1	0	2	0	3	3	0	2	0
STXBP3	7	17	13	6	7	11	3	23	0	20	6	71	4	3	26	154	9	49	44	152	66	1	3	6	5	0	92	6	87	136	31	62	1	4	3	13	8	10	13	18	5	2	8	1
STXBP4	2	0	0	0	0	1	1	2	0	2	0	9	0	1	2	14	4	3	3	22	5	1	0	2	0	0	5	2	14	15	2	5	0	0	2	0	1	0	2	3	2	0	0	0
STXBP5	0	2	1	1	0	5	1	0	0	0	1	7	0	2	1	4	0	0	2	6	3	0	0	2	2	0	4	1	5	3	2	0	0	2	0	1	1	0	0	0	0	3	0	1
STXBP5L	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STXBP6	0	0	2	1	0	0	0	5	0	1	2	11	0	1	2	40	1	6	12	56	2	2	1	3	0	2	11	2	10	16	4	6	0	0	1	0	2	9	0	3	2	0	3	0
STYK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STYX	0	2	1	0	4	8	3	10	0	6	4	20	1	11	9	42	1	11	15	29	18	4	4	6	2	1	11	2	28	32	21	19	1	1	3	2	3	7	7	11	8	2	3	2
STYXL1	28	14	35	15	46	31	22	48	0	25	25	116	4	23	33	116	26	79	100	87	45	29	12	35	6	2	115	7	93	141	121	111	6	7	11	31	34	53	67	63	35	17	29	2
SUB1	262	82	146	59	168	289	157	351	1	312	59	709	76	114	267	1431	132	538	581	1047	700	143	49	124	84	12	709	95	1334	858	528	636	73	60	44	125	99	236	213	200	101	84	157	15
SUCLA2	3	0	5	2	5	3	1	12	0	4	4	24	3	1	10	53	6	13	30	85	15	9	0	6	1	0	27	2	24	46	15	10	0	5	4	6	11	6	11	6	3	2	7	1
SUCLG1	3	0	10	4	15	14	13	20	1	16	7	103	3	13	17	214	15	44	54	186	29	10	7	12	2	1	62	15	101	122	72	59	3	1	1	20	10	8	28	29	14	20	11	0
SUCNR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCO	4	1	7	2	2	6	5	10	0	7	5	59	2	0	18	66	3	22	19	57	24	9	1	7	2	0	29	4	36	46	15	15	3	1	0	1	6	8	4	6	0	6	4	0
SUFU	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	5	0	0	0	5	2	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0
SUGCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUGP1	1	0	0	2	2	3	0	2	0	1	3	4	0	2	4	8	1	5	6	12	2	1	1	3	0	0	6	2	8	5	6	3	1	0	2	0	6	0	1	2	3	1	0	0
SUGP2	1	1	0	0	2	1	1	1	0	0	0	19	0	2	2	23	0	2	8	19	0	2	0	1	1	0	8	1	7	6	6	0	0	0	0	0	0	5	2	1	0	0	1	0
SUGT1	47	27	36	11	33	67	21	82	0	65	52	361	16	46	84	776	37	247	174	643	169	49	10	34	6	3	381	26	435	473	254	286	17	19	17	31	38	63	65	129	27	30	56	8
SULF1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULF2	8	0	2	0	4	4	0	8	0	3	8	43	4	2	10	56	2	17	12	42	16	12	0	8	0	0	26	1	28	34	7	7	1	2	1	5	5	3	6	6	4	5	5	0
SULT1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT1C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT1C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT1C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT1E1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SULT2A1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	20	0	1	1	11	1	1	0	0	0	0	5	0	0	10	0	1	2	0	0	1	0	0	0	0	0	0	0	0
SULT2B1	0	1	0	0	1	1	0	3	0	9	2	30	2	1	10	66	1	19	12	52	9	6	1	4	0	0	23	0	24	37	10	13	1	1	0	3	0	5	2	3	2	0	1	0
SULT4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	2	0	0	0	0	2	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0
SULT6B1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUMF1	0	0	1	0	2	0	0	0	0	0	1	3	0	1	0	1	0	0	2	2	3	0	0	3	0	0	2	3	2	1	5	0	0	0	0	0	1	0	0	1	0	2	0	0
SUMO1	6	0	3	5	11	9	8	20	0	12	2	49	3	4	21	112	5	39	52	119	33	8	0	5	3	0	53	9	91	91	32	45	1	6	5	4	8	15	11	9	2	2	5	0
SUMO2	1	1	0	1	2	1	4	5	0	1	0	9	0	1	2	19	0	17	4	21	5	2	1	1	0	0	10	0	11	11	5	5	0	1	3	1	3	2	4	1	3	3	3	0
SUMO3	10	2	7	3	5	8	6	8	0	11	8	27	6	17	20	65	9	23	42	51	16	11	6	19	3	1	37	7	31	42	34	26	3	4	8	6	14	6	23	14	19	11	7	1
SUN1	4	3	1	0	3	2	6	6	0	6	10	53	1	2	14	110	4	25	39	63	31	10	1	4	0	0	33	3	58	42	20	10	0	4	0	2	2	4	4	6	5	5	5	0
SUN2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	5	0	0	2	2	1	0	0	0	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
SUN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUN5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	11	0	0	3	6	1	0	0	0	0	0	0	0	17	13	0	1	0	0	0	3	0	0	0	0	0	0	0	0
SUOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUPT16H	22	14	27	13	30	38	20	52	1	35	26	134	12	42	56	227	30	109	103	281	56	33	12	35	17	5	151	23	133	181	122	126	7	7	18	36	45	52	81	91	22	31	33	4
SUPT20H	10	6	10	3	3	19	15	40	0	30	14	133	5	19	50	210	9	92	42	196	54	20	8	18	4	1	127	16	120	163	85	91	6	7	4	19	15	32	41	39	6	16	16	0
