Gene	OF3_OO_sc.1	OF3_OO_sc.2	OF3_OO_sc.3	OF3_OO_sc.4	OF3_OO_sc.5	OF3_OO_sc.6	OF3_OO_sc.7	OF3_OO_sc.8	OF3_OO_sc.9	OF3_OO_sc.10	OF3_OO_sc.11	OF3_OO_sc.12	OF3_OO_sc.13	OF3_OO_sc.14	OF3_OO_sc.15	OF3_OO_sc.16	OF3_OO_sc.17	OF3_OO_sc.18	OF3_OO_sc.19	OF3_OO_sc.20	OF3_OO_sc.21	OF3_OO_sc.22	OF3_OO_sc.23	OF3_OO_sc.24	OF3_OO_sc.25	OF3_OO_sc.26	OF3_OO_sc.27	OF3_OO_sc.28	OF3_OO_sc.29	OF3_OO_sc.30	OF3_OO_sc.31	OF3_OO_sc.32	OF3_OO_sc.33	OF3_OO_sc.34	OF3_OO_sc.35	OF3_OO_sc.36	OF3_OO_sc.37	OF3_OO_sc.38	OF3_OO_sc.39	OF3_OO_sc.40	OF3_OO_sc.41	OF3_OO_sc.42	OF3_OO_sc.43	OF3_OO_sc.44
SPTBN2	0	0	0	1	1	0	0	1	0	1	1	3	0	0	0	8	0	1	0	7	2	2	0	0	0	0	1	0	9	9	0	0	0	0	1	0	0	0	0	0	2	1	0	0
SPTBN4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	6	2	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	1	0	0	0	2	0
SPTBN5	0	2	2	0	1	2	5	10	0	10	2	53	0	1	8	99	2	24	20	82	35	3	0	1	3	0	18	0	37	51	16	15	4	5	0	2	3	2	4	3	7	4	6	1
SPTLC2	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	5	0	0	0	2	0	1	0	0	0	0	5	0	1	2	1	1	0	0	0	5	0	1	1	2	0	0	2	0
SPTSSA	1	0	1	0	1	1	1	1	0	1	0	4	0	0	3	10	0	1	3	8	4	0	0	0	0	0	3	0	4	9	6	4	0	0	0	0	0	0	0	2	0	0	0	0
SPTSSB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPTY2D1	5	9	19	8	7	6	3	17	0	11	14	114	6	17	24	259	20	59	38	230	64	27	2	16	14	0	115	6	102	134	64	66	3	7	8	19	17	22	25	40	3	13	27	1
SPTY2D1OS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SQLE	3	1	4	0	2	1	0	5	0	1	3	22	0	1	6	25	2	8	22	26	12	6	2	4	3	0	16	5	13	16	13	8	0	0	1	1	1	4	2	3	0	2	1	0
SQOR	0	0	5	0	2	5	3	5	0	7	7	22	3	13	6	42	5	18	28	34	5	5	2	2	2	0	22	7	15	48	3	15	1	2	1	8	12	1	8	13	7	2	2	0
SQSTM1	18	16	19	13	54	27	30	20	0	31	23	179	4	58	27	352	23	90	170	388	70	36	11	40	10	0	144	43	193	266	138	73	4	6	12	30	37	29	92	56	50	33	31	3
SRA1	7	6	7	9	7	11	8	14	0	14	4	49	3	8	22	125	2	32	32	116	21	9	4	6	2	0	41	7	55	76	42	40	8	4	12	11	14	27	9	23	6	15	10	3
SRARP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRBD1	12	6	16	4	17	16	6	31	0	15	13	80	14	14	32	158	13	45	23	151	43	8	2	10	9	0	71	4	96	96	64	80	2	4	11	6	9	13	33	27	6	5	12	0
SRC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRCIN1	0	1	1	0	0	0	2	1	0	0	0	1	1	0	0	6	0	1	2	4	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0
SRD5A1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SRD5A2	2	0	0	0	0	0	0	3	0	0	0	3	0	1	1	2	0	2	1	1	2	1	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SRD5A3	3	1	2	0	4	0	2	3	0	5	0	28	0	4	1	33	3	15	10	19	3	2	1	4	0	0	27	1	12	28	21	5	0	0	4	0	3	2	1	3	3	3	2	0
SREBF1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SREBF2	3	1	0	1	0	0	0	9	0	3	0	10	0	0	0	15	0	4	5	11	9	3	0	1	0	0	7	6	5	3	9	2	0	1	0	1	2	0	1	0	2	1	0	0
SREK1	4	2	9	0	20	8	4	10	0	9	11	36	5	11	10	69	11	27	39	52	26	15	1	17	8	1	37	21	26	48	45	23	2	12	6	6	28	3	15	20	15	16	5	1
SREK1IP1	53	25	38	28	46	71	50	102	1	57	44	328	20	68	79	585	51	216	141	434	208	76	13	45	37	2	274	37	350	362	226	219	20	15	21	39	53	77	95	98	42	36	40	4
SRF	0	1	0	0	1	1	1	1	0	0	3	10	0	1	0	13	0	2	0	9	1	3	0	2	2	0	1	3	3	5	1	2	0	2	0	0	0	0	0	0	0	0	0	0
SRFBP1	13	5	28	5	15	20	19	31	1	22	8	66	8	24	43	133	10	51	46	109	28	17	4	7	9	1	76	12	70	81	64	67	6	5	10	11	15	25	34	31	13	6	12	2
SRGAP1	0	1	1	2	0	0	1	0	0	5	0	14	0	0	1	21	1	15	18	23	5	5	0	0	1	1	12	2	8	13	5	3	1	0	2	0	1	0	1	0	0	1	0	0
SRGAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRGN	0	0	0	0	0	0	0	2	0	1	0	4	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	44	1	1	1	1	0	0	0	0	0	0	0	2	3	1	1	0
SRI	37	9	19	16	42	36	24	42	0	43	15	146	10	30	46	400	24	102	98	330	126	23	11	25	1	1	140	11	282	225	83	127	18	15	19	28	31	55	39	37	23	24	54	3
SRL	1	0	0	0	0	1	0	1	0	0	0	7	0	1	0	6	0	1	1	11	1	2	0	0	0	0	4	0	2	4	2	1	0	0	1	0	1	0	0	2	2	0	0	0
SRM	2	1	4	1	1	10	3	8	0	6	10	80	5	11	7	105	12	40	43	91	14	16	4	12	3	0	80	3	65	79	35	23	9	3	5	8	12	12	17	11	11	10	8	3
SRMS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRP14	83	37	59	35	87	73	71	111	1	120	46	321	17	63	111	565	74	234	253	479	221	69	19	65	42	4	321	63	480	387	242	296	25	26	43	70	74	111	94	98	59	49	89	6
SRP54	47	13	37	20	57	52	41	111	0	78	15	339	12	38	115	645	37	249	198	612	152	67	23	52	19	8	421	41	393	537	258	264	7	13	12	38	27	69	94	88	35	23	56	3
SRP68	10	11	14	10	35	23	22	33	0	30	26	177	2	26	31	266	17	88	129	203	69	36	7	28	9	4	137	9	114	145	87	87	4	6	8	27	16	25	26	40	30	14	13	0
SRP72	6	6	19	2	16	24	11	33	0	25	6	94	2	16	32	173	17	63	72	170	31	26	8	14	0	7	107	12	96	132	69	90	7	10	7	14	16	29	30	31	8	14	15	1
SRP9	40	22	21	26	48	69	46	60	0	59	28	189	9	47	66	360	33	137	146	337	147	35	18	45	9	2	182	22	338	241	142	172	15	10	26	41	49	64	66	67	41	42	49	2
SRPK1	52	44	88	9	53	52	32	111	1	176	62	618	24	51	193	1168	62	362	309	1011	289	109	20	46	41	5	505	38	773	631	388	340	6	18	26	59	51	76	135	123	36	24	55	1
SRPK2	6	9	14	8	20	6	3	10	0	27	7	89	7	23	22	111	15	55	96	101	36	19	9	26	6	0	83	4	43	67	66	45	0	3	18	14	7	27	37	44	21	11	10	1
SRPK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SRPRA	4	4	8	1	11	5	3	6	0	5	7	64	0	6	7	79	4	23	25	120	16	12	3	6	5	0	28	12	37	79	32	22	1	0	6	10	4	6	21	12	5	1	10	1
SRPRB	4	1	2	2	12	4	10	8	0	5	9	34	0	14	13	59	9	29	23	42	7	13	6	14	1	1	27	4	19	43	38	27	2	2	0	3	7	18	15	11	9	8	8	1
SRPX	2	0	0	0	0	0	0	0	0	0	0	3	0	0	3	5	0	0	2	1	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
SRPX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	5	0	2	0	7	1	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0	0	1	0	1	0	0	2	0
SRRD	1	2	5	1	9	4	7	8	0	9	0	47	2	3	12	95	3	22	34	92	18	9	1	7	2	0	31	5	52	60	22	21	4	3	2	1	8	8	10	10	3	4	5	0
SRRM4	0	0	2	0	0	0	0	0	0	0	1	2	0	0	2	2	0	2	1	1	0	0	0	0	1	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0
SRRM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRRT	8	4	5	4	1	4	11	1	0	4	12	22	0	5	3	11	4	7	26	15	4	10	2	13	2	0	21	2	0	18	20	16	2	4	5	7	6	4	17	7	2	1	4	1
SRSF1	3	3	3	1	5	2	1	9	0	7	13	41	2	2	10	66	1	24	22	62	15	8	1	12	2	1	40	10	30	42	16	10	2	2	3	9	6	11	10	7	7	2	6	1
SRSF10	12	1	5	3	9	8	5	10	0	10	2	57	5	8	15	69	3	27	38	87	13	8	2	10	4	0	39	22	35	46	19	32	2	2	2	7	11	8	19	8	9	3	10	0
SRSF11	8	24	23	5	48	9	20	27	0	31	41	116	25	59	60	188	33	111	129	183	31	40	17	41	18	3	179	35	87	144	124	74	6	13	38	55	62	47	50	65	19	23	19	5
SRSF12	5	3	11	4	3	9	7	9	0	11	2	26	1	4	11	73	4	19	26	81	29	11	2	7	5	0	34	8	34	49	14	18	0	2	8	16	7	5	11	10	7	5	7	2
SRSF2	4	3	0	4	4	4	5	11	0	6	4	28	3	4	9	41	2	16	16	39	10	4	3	11	7	0	19	13	33	24	18	13	2	4	3	7	3	5	7	9	12	6	7	0
SRSF3	0	3	4	4	2	7	2	8	0	1	5	34	0	3	7	34	10	24	16	41	10	3	0	4	3	1	29	10	34	43	11	18	1	0	1	7	5	10	8	6	2	1	5	1
SRSF4	0	1	1	0	4	3	1	7	0	1	1	39	1	5	10	52	5	18	21	42	9	8	0	3	3	0	17	9	16	13	21	10	1	3	3	2	3	7	8	7	9	2	1	3
SRSF5	8	10	19	7	26	17	9	28	0	24	16	117	4	28	33	239	22	77	60	256	48	16	8	23	6	1	109	34	116	171	77	61	6	5	11	18	20	23	21	28	7	9	14	2
SRSF6	4	2	5	5	3	9	3	7	1	5	3	39	1	3	14	53	8	17	31	53	16	3	4	8	2	1	38	8	29	30	30	21	0	1	5	2	8	8	16	14	8	2	10	1
SRSF7	16	9	11	10	23	12	16	41	0	22	14	119	6	10	32	183	22	89	102	211	71	7	11	28	2	2	132	23	155	177	80	87	5	5	5	21	22	41	40	40	22	10	23	2
SRSF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF9	1	1	1	0	3	0	0	0	0	0	0	8	0	0	2	23	1	6	7	12	2	5	1	3	0	0	6	6	7	16	4	8	0	0	0	3	5	2	4	4	1	2	2	0
SRXN1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SS18	1	2	1	0	1	2	0	1	0	1	1	16	0	1	1	36	0	2	10	28	8	1	0	0	1	0	8	2	4	12	12	5	0	0	0	1	1	1	4	0	4	2	0	0
SS18L1	3	0	1	0	3	2	1	4	0	2	1	9	0	1	0	10	0	3	2	6	2	3	0	0	2	0	4	0	3	3	4	6	0	0	1	0	3	1	1	3	0	0	1	1
SS18L2	22	8	12	3	21	27	8	34	0	34	9	114	6	7	33	145	20	89	76	150	69	16	4	5	1	1	107	34	121	158	61	100	9	6	4	11	8	24	24	27	13	11	9	0
SSB	57	47	86	31	127	58	68	142	1	146	53	426	34	116	179	763	82	299	324	551	249	110	29	80	53	4	489	46	525	542	331	394	23	38	36	82	90	105	132	128	76	78	70	6
SSBP1	29	17	28	15	67	44	29	64	0	49	26	262	8	56	62	434	32	131	155	286	138	44	11	41	14	5	219	16	279	258	155	170	11	9	13	45	33	28	28	74	23	26	30	5
SSBP2	0	1	1	0	0	0	0	3	0	1	0	0	0	0	0	1	0	2	1	8	1	0	0	2	0	0	2	2	0	2	2	0	0	0	0	1	0	2	1	1	0	0	0	0
SSBP3	2	0	1	1	0	0	0	1	0	1	0	12	1	0	0	8	0	8	2	18	3	0	0	2	0	0	4	1	6	2	2	2	0	1	0	0	0	0	1	1	0	0	0	0
SSBP4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	3	0	3	0	1	0	1	2	0	2	2	6	1	2	0	0	0	1	0	1	0	1	0	0	0	0	0
SSC4D	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC5D	1	0	0	0	1	0	1	0	0	0	0	3	0	0	1	4	0	1	1	11	0	0	0	2	0	0	1	0	2	5	1	1	0	0	0	0	1	0	0	0	3	0	1	0
SSFA2	4	5	6	0	5	2	6	3	0	7	4	45	0	1	5	44	4	12	13	46	18	14	0	6	1	0	22	5	28	34	29	6	4	5	1	0	2	5	3	4	6	3	5	0
SSH1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
SSH2	1	0	3	1	0	2	2	2	0	1	1	21	1	4	3	22	2	10	5	27	5	1	0	3	4	0	16	2	17	24	8	12	0	1	2	1	3	8	2	2	6	0	7	0
SSH3	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SSMEM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	1	0	0
SSNA1	6	2	9	9	25	14	13	27	0	13	19	100	13	29	18	256	13	59	70	213	33	20	13	18	6	1	85	8	114	148	65	63	6	5	10	25	27	34	41	36	24	22	15	1
SSPN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSPO	0	0	0	0	1	1	0	1	0	0	2	3	0	0	0	7	0	2	0	5	0	0	0	1	1	0	4	0	8	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0
SSR1	18	17	15	2	26	10	8	31	0	32	6	212	2	9	39	572	15	136	100	452	143	27	7	15	6	2	210	14	260	297	91	95	2	8	4	13	13	19	18	26	5	10	8	5
SSR2	8	3	3	4	18	14	14	17	0	4	13	87	1	17	15	144	10	54	47	131	38	13	11	18	2	1	84	9	91	119	72	57	3	0	4	2	12	13	31	25	6	2	32	0
SSR3	20	6	13	6	27	37	15	44	0	16	12	170	7	18	31	304	18	78	81	247	59	25	9	33	3	0	140	14	158	208	108	110	6	3	18	25	22	41	38	67	14	19	35	5
SSR4	26	24	22	27	50	42	53	49	1	40	36	109	17	40	45	182	31	73	104	157	100	38	13	50	11	2	124	28	161	141	102	86	16	16	23	52	63	82	75	79	55	18	42	8
SSRP1	2	6	1	3	5	4	4	9	0	5	5	39	3	8	4	32	5	9	29	31	7	19	1	8	6	1	18	5	7	23	18	15	3	5	0	0	11	14	12	11	9	2	0	0
SSSCA1	28	7	14	6	29	29	11	37	0	26	20	139	11	25	32	363	20	60	86	284	93	19	7	13	5	3	105	13	170	186	86	95	7	11	14	23	33	39	38	41	19	21	25	5
SST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSTR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSTR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSTR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSTR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSTR5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	12	10	13	7	9	18	14	24	0	31	17	150	3	21	22	267	22	83	120	238	57	30	5	21	11	1	144	16	152	181	138	83	3	3	13	16	25	34	40	36	26	18	20	2
SSUH2	9	2	4	2	2	1	3	2	0	2	2	13	1	4	6	52	1	23	5	28	26	7	1	7	0	0	17	0	30	49	42	12	2	2	0	5	3	3	4	7	2	2	6	0
SSX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX2IP	11	10	15	0	11	19	6	27	0	26	11	144	2	19	30	204	10	62	56	219	63	18	7	15	13	0	113	2	106	124	88	57	5	3	10	8	18	18	26	33	8	15	17	0
ST14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ST18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST20-MTHFS	6	5	12	5	12	12	11	9	0	13	2	63	3	2	11	163	12	43	69	143	40	9	0	7	3	1	43	3	75	83	37	42	6	3	3	4	4	3	11	25	4	3	2	0
ST3GAL1	1	0	0	0	1	1	0	2	0	0	0	3	0	0	4	15	0	8	7	3	3	2	0	1	0	0	2	6	5	1	2	1	0	0	0	2	1	0	2	1	1	0	0	0
ST3GAL2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	2	4	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	0	0	0	3	1	0	0	1	0
ST3GAL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST3GAL4	0	0	2	0	2	0	0	1	0	5	0	16	1	2	0	15	0	8	28	13	4	3	2	2	0	0	9	0	10	13	5	2	1	1	3	1	1	2	2	1	2	2	2	0
ST3GAL5	0	1	5	1	0	2	1	2	0	5	0	20	0	3	1	39	1	15	3	41	9	10	0	3	0	0	13	0	19	25	5	3	0	2	2	2	2	6	7	4	0	0	4	0
ST3GAL6	7	7	8	1	3	7	5	10	0	8	16	47	0	10	14	68	9	23	37	64	22	1	1	15	3	0	56	9	56	50	28	28	0	1	5	5	6	12	14	17	4	3	5	1
ST5	1	2	1	1	1	1	1	7	0	0	3	19	0	0	1	46	0	7	8	15	6	3	0	0	0	0	17	3	15	17	9	2	0	1	0	1	2	1	1	3	0	0	2	0
ST6GAL1	2	0	1	0	1	0	1	0	0	2	0	0	1	0	4	9	0	0	5	7	3	0	0	1	0	0	4	1	3	2	6	3	0	0	0	1	0	2	4	1	0	0	1	0
ST6GAL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC2	0	0	0	0	0	1	0	1	0	0	0	6	0	0	0	9	0	1	1	3	1	0	0	0	0	1	2	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ST6GALNAC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ST7	2	1	1	2	4	4	1	5	0	4	4	23	0	5	4	61	9	7	18	67	17	2	2	4	2	0	12	3	30	35	13	16	0	1	3	1	0	4	11	5	3	2	11	0
ST7L	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	16	0	6	8	14	2	1	0	1	0	1	1	1	5	11	2	7	0	0	1	0	1	4	1	1	1	0	1	0
ST8SIA1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST8SIA2	1	1	1	0	3	4	0	2	0	6	0	21	0	10	3	29	6	15	13	36	19	2	2	3	0	1	28	2	16	17	7	6	2	1	1	3	5	5	14	5	4	0	7	0
ST8SIA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST8SIA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST8SIA5	0	0	0	0	0	2	0	0	0	0	1	9	0	0	0	16	0	1	3	45	6	0	1	1	0	0	3	0	5	11	1	2	2	1	0	0	1	1	0	1	4	2	0	0
ST8SIA6	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	2	1	0	0	0	0	0	3	0	2	1	1	0	0	0	0	0	1	1	2	0	0	2	0	0
STAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
STAB2	6	7	7	2	3	6	9	13	0	13	9	83	1	6	19	142	3	31	35	102	23	5	1	12	2	1	71	0	82	81	38	36	0	1	1	5	9	11	7	3	11	3	10	0
STAC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAG1	4	3	3	0	4	2	1	9	0	3	4	24	0	7	3	34	3	19	16	57	11	7	2	4	2	1	18	3	18	36	13	14	5	3	1	6	8	6	9	6	1	0	3	0
STAG2	4	0	0	0	0	3	0	1	0	1	0	7	0	1	2	12	1	4	4	12	6	2	0	1	1	1	9	10	3	6	2	3	1	1	4	1	1	1	3	2	0	2	5	0
STAG3	4	1	3	0	2	0	0	6	0	8	10	65	0	2	9	88	4	26	19	76	12	8	2	5	0	0	44	4	38	44	37	10	1	0	2	1	4	4	2	5	1	4	6	1
STAM	1	0	0	0	1	0	0	3	0	2	1	4	0	3	4	29	1	9	1	14	10	4	0	1	0	0	12	3	5	16	4	5	0	1	3	0	2	3	3	5	2	0	1	0
STAM2	4	2	8	2	3	6	3	18	0	12	8	40	3	5	15	76	1	26	26	76	21	7	0	3	0	0	46	3	46	50	24	29	3	4	1	4	5	6	6	15	4	0	7	0
STAMBP	3	9	14	3	6	7	5	15	0	28	15	86	10	17	28	144	11	43	31	131	24	17	1	11	9	0	72	6	53	105	54	37	1	1	8	18	17	6	20	16	5	11	8	5
STAMBPL1	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
STAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAP2	0	0	0	0	2	0	0	1	0	1	0	9	0	0	1	10	0	6	0	8	3	0	0	0	1	0	9	1	2	17	5	5	0	0	0	0	0	0	0	0	1	0	0	0
STAR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
STARD10	0	0	1	0	0	0	0	0	0	0	2	6	0	0	2	6	0	1	4	9	1	1	0	1	3	0	3	0	5	7	3	0	1	1	0	1	0	2	3	0	0	0	1	0
STARD13	1	0	3	0	0	1	1	1	0	1	2	5	0	1	2	12	1	5	3	6	2	2	0	0	1	0	2	0	4	6	2	2	0	2	1	1	0	0	0	0	0	0	2	1
STARD3	0	1	0	0	0	3	0	0	0	1	0	3	0	1	1	10	0	2	5	6	1	1	1	1	0	0	1	0	0	2	1	4	0	0	0	0	1	0	1	1	1	0	0	0
STARD3NL	2	0	2	1	1	8	1	4	0	5	3	38	0	5	0	43	6	24	42	50	13	5	0	5	1	1	33	7	21	38	13	9	0	1	3	5	9	3	13	9	10	4	4	0
STARD4	4	5	1	2	4	8	3	2	0	3	6	10	0	7	3	8	8	13	18	30	10	2	2	5	0	0	17	3	12	10	17	12	0	1	4	4	8	4	10	9	4	1	3	0
